@relation 'credit-Kaggle-weka.filters.unsupervised.attribute.Reorder-R10,9,8,7,6,5,4,3,1,2,11'

@attribute NumberOfDependents numeric
@attribute NumberOfTime60-89DaysPastDueNotWorse numeric
@attribute NumberRealEstateLoansOrLines numeric
@attribute NumberOfTimes90DaysLate numeric
@attribute NumberOfOpenCreditLinesAndLoans numeric
@attribute MonthlyIncome numeric
@attribute DebtRatio numeric
@attribute NumberOfTime30-59DaysPastDueNotWorse numeric
@attribute RevolvingUtilizationOfUnsecuredLines numeric
@attribute age numeric
@attribute SeriousDlqin2yrs {0,1}

@data
4,0,0,0,4,6849,0.121752,0,0.810012,43,?
0,0,2,0,31,4000,0.890527,0,0.014284,58,?
?,0,0,0,5,?,2,0,0.00122,72,?
1,0,1,0,5,6000,0.246959,0,2.068589,47,?
0,0,0,0,8,?,1586,0,0.458599,39,?
2,0,1,0,17,4703,0.261054,0,0.003555,51,?
1,0,0,0,4,6626,0.159952,0,0.375009,28,?
0,0,0,0,4,?,0,0,0,32,?
0,0,0,0,1,?,15,0,0.026149,74,?
0,0,1,0,7,?,3803,0,0,43,?
1,0,0,0,10,3500,0.37475,0,0.140697,74,?
1,0,1,0,12,?,2316,0,0,52,?
0,0,0,0,2,2796,0.025027,0,0.156456,33,?
0,0,0,0,5,1500,0.498334,0,0.359245,29,?
3,0,1,0,13,17000,0.209458,0,0.351678,45,?
0,0,1,0,4,3250,0.20363,0,0.104316,55,?
2,0,2,0,10,9750,0.308276,0,0.006071,62,?
0,0,0,1,4,1800,0.232093,2,0.35964,29,?
0,0,1,0,10,7500,0.204906,0,0.005741,58,?
0,0,0,0,3,1815,0.155837,1,1.016983,57,?
0,0,2,0,13,0,2944,0,0.380214,62,?
2,0,0,0,4,5070,0.115362,0,0.667633,27,?
2,0,1,0,3,11000,0.158531,0,1,41,?
?,0,1,0,5,?,1797,0,0.015719,49,?
0,0,0,0,4,5408,0.240155,0,0.699145,53,?
0,0,2,0,5,5345,0.497942,0,0.601814,45,?
0,0,1,0,8,2800,1.245984,0,0.954379,57,?
0,0,2,0,13,6250,0.513518,1,0.227562,61,?
0,0,2,0,7,10000,0.336266,0,0,55,?
0,98,0,98,0,2534,0,98,1,33,?
0,0,1,0,4,3000,0.550483,1,0.447043,43,?
2,0,2,0,11,3125,0.49936,0,0.075977,49,?
0,0,0,0,1,764,0,0,1,25,?
0,0,0,0,0,6123,0.001796,0,1,26,?
0,2,0,0,10,?,1637,1,0.990378,55,?
1,0,3,0,27,16500,0.469669,0,0.16936,50,?
1,0,2,0,11,13500,0.307237,0,0,66,?
1,0,2,0,10,9734,0.262044,1,0.953289,36,?
0,0,0,0,21,4167,0.395393,1,0.849552,62,?
0,0,2,0,4,4583,0.258726,0,1,71,?
0,0,1,0,9,4000,0.44114,0,0.379472,63,?
1,0,3,0,7,5500,0.618069,0,0.917907,36,?
0,0,0,0,3,2961,0.13842,0,0.151257,26,?
0,0,0,0,3,4373,0.003658,0,0.018877,43,?
1,0,0,1,7,4966,0.130864,1,0.750333,47,?
0,0,0,1,4,?,316,0,0.522199,34,?
?,0,0,0,5,?,0,0,1,89,?
0,0,1,0,5,8000,0.28009,0,0.371218,70,?
?,0,1,0,3,?,4577,0,0.164624,45,?
1,0,0,0,8,2916,0.173809,0,0,34,?
1,0,1,0,10,3089,0.347573,0,0.0938,49,?
0,0,2,0,10,3450,0.241959,6,0.170567,67,?
0,0,8,0,13,6000,1.990002,0,0,40,?
1,1,2,4,4,6200,0.3572,0,0.694663,40,?
3,0,1,1,6,7611,0.210326,0,0.760114,31,?
2,0,2,0,15,19000,0.419188,0,0.403893,39,?
2,0,2,0,13,7673,0.406828,0,0.900909,46,?
?,0,1,0,7,?,427,0,0.018,60,?
2,0,2,0,16,11250,0.534975,1,0.332982,56,?
0,0,1,0,7,?,172,0,0.029388,68,?
0,0,0,0,5,800,0.018727,0,0.038689,24,?
0,0,0,0,1,?,42,0,1,64,?
0,1,1,0,5,3500,0.377321,1,1.274542,61,?
2,0,0,0,8,2900,0.399517,0,0.816761,35,?
2,0,1,0,16,6493,0.435479,3,0.769005,53,?
2,0,1,0,7,1500,0.586276,0,0.043709,28,?
0,0,0,0,5,3335,0.147482,0,0.084447,28,?
0,0,0,0,5,5370,0.131447,0,0.041486,56,?
1,0,2,0,6,16100,0.134402,0,0.002688,69,?
2,0,2,0,17,13333,0.253787,0,0.007992,44,?
0,0,2,0,9,2916,0.992458,5,1.010598,30,?
3,0,3,0,12,10000,0.430657,0,0.018458,41,?
0,0,0,0,10,4200,0.238515,0,0.167341,51,?
1,0,2,0,23,7931,0.326273,0,0.110524,39,?
2,0,0,0,5,6986,0.028052,1,0,33,?
0,0,1,0,4,10333,0.28982,0,0.0018,41,?
0,0,0,0,1,3000,0.001999,0,0.403194,25,?
0,0,1,0,15,5333,0.576115,1,0.959858,53,?
0,0,1,0,11,1100,0.552225,0,0.087867,61,?
0,0,0,0,12,3000,0.020993,0,0,77,?
4,1,0,0,3,3000,0.098301,1,0.793106,35,?
0,0,0,0,5,4000,0.066983,0,0.399138,67,?
0,0,1,0,19,6203,0.413765,0,0.47841,52,?
0,0,1,0,6,5000,0.286743,0,0.134656,80,?
2,0,1,0,4,6900,0.169106,0,0.066322,47,?
2,0,2,0,8,4166,0.535877,0,1,30,?
0,0,1,0,8,?,1044,0,0.031794,50,?
1,1,1,5,2,6014,0.407648,0,1,43,?
0,0,3,0,13,8375,0.256089,0,0.10489,32,?
1,0,0,0,4,4100,0.032675,0,0.179712,59,?
0,0,0,1,4,?,31,1,0.436149,38,?
0,0,0,0,5,?,309,1,1,58,?
0,0,0,0,4,1120,0.123104,0,0.173065,42,?
2,0,1,0,13,4335,0.451107,1,0.267398,32,?
0,0,2,0,8,0,1346,0,0,57,?
0,0,0,4,0,?,395,0,1,53,?
1,0,2,0,7,4900,0.571516,0,0.441148,31,?
4,0,5,0,17,10666,0.509047,1,0.326273,50,?
0,0,0,0,4,4000,0.002749,0,0.005034,78,?
0,0,1,0,7,1100,0.275204,1,0.0075,60,?
4,0,0,0,0,2800,0.02035,0,1,34,?
1,1,1,0,10,6800,0.375386,4,0.678472,60,?
0,0,1,1,8,?,1284,3,0.107778,54,?
3,0,0,0,7,6000,0.219297,0,0.189012,44,?
0,0,2,0,8,4793,0.599499,1,0.928253,58,?
0,0,0,0,3,1800,0.105497,0,0.009777,49,?
0,0,0,0,5,1888,0.214399,0,0.930098,37,?
1,0,3,0,22,12833,0.347125,0,0.119539,55,?
0,0,0,0,8,9433,0,0,0.000267,88,?
1,0,1,0,7,?,2330,0,0.455059,43,?
2,0,3,0,23,7200,0.583252,0,0.158256,53,?
?,0,2,0,7,?,3822,0,0.065244,55,?
2,0,1,0,4,8400,0.116653,1,0.345611,32,?
0,0,4,0,15,20000,0.681916,0,0.005857,41,?
1,0,0,0,8,4300,0.046036,0,0.178393,47,?
0,0,3,0,11,2230,2.372479,0,0.021305,62,?
2,0,0,0,6,?,720,0,0.199776,45,?
0,0,1,0,9,6501,0.214703,0,0.048867,79,?
1,0,1,0,6,?,2318,0,0.002199,64,?
0,0,0,0,5,15600,0.012948,0,0,31,?
0,0,0,0,3,800,0.253433,0,0.156843,25,?
3,0,1,0,5,2917,0.328307,0,0.994168,42,?
0,0,2,0,3,5166,0.345849,0,1,43,?
1,0,0,0,8,2000,0.089455,2,1.003095,27,?
1,0,3,0,13,7400,0.68153,0,0.119818,59,?
0,0,0,0,5,2250,0.235895,0,0.02883,26,?
0,0,0,0,10,6500,0.083833,0,0.01844,28,?
0,0,1,1,8,?,2826,1,1,65,?
0,0,1,0,13,6116,0.143861,0,0.012443,71,?
0,0,0,0,1,2500,0,0,0.002428,78,?
4,1,0,1,8,4060,0.275055,0,0.720979,47,?
0,0,4,0,10,5422,0.593583,0,0.262728,73,?
0,0,0,0,1,2300,0.087353,0,0.509934,30,?
2,0,2,0,6,15000,0.185588,0,0.004341,57,?
2,0,1,0,10,1000,1.202797,0,0,37,?
0,0,1,0,10,10658,0.171311,0,0.027521,61,?
0,0,1,0,4,?,1390,1,0.740915,55,?
0,0,0,0,1,?,2,0,0.044478,36,?
0,1,0,7,5,?,1489,3,2.925312,55,?
0,0,1,0,8,5794,0.354616,0,0.710431,27,?
0,0,0,0,3,4841,0.001859,0,0.007875,31,?
0,0,1,0,15,7880,0.388022,0,0.418665,53,?
0,0,1,1,5,5833,0.207405,1,0.2511,44,?
2,0,1,0,6,33333,0.120388,0,6875,55,?
0,0,2,0,15,3500,1.664096,0,0.258896,35,?
0,0,1,0,5,7166,0.247244,2,1,47,?
0,0,0,2,11,3319,0.439157,7,0.968335,48,?
0,0,2,0,8,?,4771,0,1,74,?
0,0,2,0,9,7000,0.16869,0,0.001933,60,?
0,0,0,0,6,3500,0.162811,0,1,71,?
0,0,2,0,11,?,1097,0,0,73,?
0,0,0,0,5,6591,0.081766,1,0.203169,76,?
0,0,1,0,17,?,1265,0,0.005528,45,?
2,0,0,0,5,9167,0.019634,0,0.094543,43,?
3,0,2,0,26,17906,0.409505,0,0.30794,56,?
2,0,2,0,20,4570,1.167359,0,0.639662,45,?
3,0,2,0,7,9571,0.403782,0,0.007294,45,?
0,1,2,1,2,6000,0.27962,3,1,59,?
0,0,1,0,26,10500,0.162365,0,0.248068,64,?
2,0,1,0,16,6266,0.489708,0,0.483727,55,?
0,0,1,0,12,8000,0.139108,0,0,59,?
3,1,0,0,5,1680,0.815586,2,0.79569,44,?
0,0,0,0,12,2900,0.776973,0,0.517051,63,?
2,0,2,0,15,5400,0.962229,1,1,38,?
1,0,0,0,8,8879,0.222185,0,0.295454,59,?
2,0,2,0,18,8000,0.330959,0,0.13461,60,?
1,0,0,0,4,5000,0.191762,0,0,34,?
0,0,1,0,5,5000,0.472505,0,0.302073,45,?
0,0,1,0,11,3192,0.663326,1,0.246533,72,?
0,0,0,0,7,5250,0.138831,0,0.013098,33,?
0,0,0,0,5,4804,0.009781,0,0.050398,82,?
2,0,2,0,10,5833,0.69712,1,0,40,?
0,0,2,0,6,8415,0.257961,0,0.175632,41,?
0,0,1,0,8,2720,0.45057,0,0.432928,53,?
0,0,2,0,8,5470,0.267958,0,0.770287,31,?
1,0,3,0,12,8900,0.657567,3,0.657725,73,?
0,0,0,0,22,?,2201,0,0.235754,60,?
1,0,0,0,3,4500,0.12575,2,0.614386,38,?
0,0,1,0,3,11600,0.248858,0,0.023475,42,?
0,0,1,0,9,30000,0.365288,0,0.163923,60,?
3,0,1,0,15,4583,0.456806,1,0.867949,62,?
0,0,3,0,10,8641,0.278292,1,0.309048,59,?
3,0,0,0,12,16250,0.09304,0,0.104142,50,?
0,4,0,2,5,0,723,3,1.159855,65,?
0,0,1,0,15,15000,0.100327,0,0.016771,63,?
0,0,0,0,5,3500,0.367895,3,0.427146,29,?
0,0,1,0,8,?,1251,0,0.029467,61,?
0,0,1,0,7,2500,0.55098,0,0.405133,28,?
0,0,0,0,4,?,132,0,0.192209,67,?
2,0,0,0,2,1416,0.040226,0,0,44,?
0,0,0,0,5,8333,0.00312,0,0.025796,69,?
2,0,2,0,8,8582,0.447746,0,1,51,?
0,0,1,0,4,6083,0.441979,0,0.245351,43,?
1,0,0,0,5,3000,0.236588,0,0.081149,28,?
1,0,1,0,7,3861,0.34464,0,0.911788,44,?
2,0,1,0,7,0,1464,0,0.060082,54,?
0,0,2,0,7,?,4126,0,0.151036,66,?
0,0,1,0,8,2250,0.353176,0,0.062888,81,?
2,1,0,4,7,2500,0.201919,2,1.965087,45,?
0,0,2,0,6,9433,0.441912,3,0.936553,65,?
0,0,0,0,4,2797,0.161901,0,1,60,?
0,0,0,0,6,3000,0.001333,0,0.002578,92,?
2,0,8,0,32,18283,0.890177,0,0.123232,64,?
0,0,0,0,5,3833,0.103808,0,0.323206,31,?
0,0,0,0,4,3300,0.563769,0,0.477876,39,?
2,0,3,0,17,9750,0.374115,0,0.056274,39,?
0,0,1,0,10,5583,0.189649,0,0.030851,52,?
