@relation 'credit-Kaggle-weka.filters.unsupervised.attribute.Reorder-R10,9,8,7,6,5,4,3,1,2,11'

@attribute NumberOfDependents numeric
@attribute NumberOfTime60-89DaysPastDueNotWorse numeric
@attribute NumberRealEstateLoansOrLines numeric
@attribute NumberOfTimes90DaysLate numeric
@attribute NumberOfOpenCreditLinesAndLoans numeric
@attribute MonthlyIncome numeric
@attribute DebtRatio numeric
@attribute NumberOfTime30-59DaysPastDueNotWorse numeric
@attribute RevolvingUtilizationOfUnsecuredLines numeric
@attribute age numeric
@attribute SeriousDlqin2yrs {0,1}

@data
2,0,1,0,4,5584,0.716562,0,0.299745,44,?
4,0,0,0,4,6849,0.121752,0,0.810012,43,?
2,0,2,0,7,15500,0.253855,0,0.025449,58,?
0,1,0,0,5,?,517,0,0.977899,63,?
0,0,2,0,15,16000,0.337166,0,0.08193,57,?
0,0,4,0,18,13885,0.400547,0,0.699618,40,?
1,0,2,0,9,9106,0.386186,0,0.208187,60,?
0,0,1,0,12,3633,0.25399,0,0,70,?
1,0,0,0,4,6400,0,0,0,63,?
0,0,1,0,4,2600,0.175702,0,0,73,?
1,1,2,0,12,4800,0.471152,1,0.30269,43,?
2,0,2,0,11,6666,1.113394,0,0.405644,50,?
0,0,3,0,11,6800,0.674607,0,0.018982,60,?
0,0,0,0,3,1500,0.216522,0,0.918164,34,?
2,0,0,0,4,6500,0.067374,0,0.964454,33,?
0,0,1,0,12,5173,0.366061,0,0.618697,56,?
2,0,0,0,3,3032,0.005935,0,1,44,?
0,0,1,0,8,2557,0.463643,1,0.534872,35,?
0,0,0,0,5,4889,0.014928,0,0.03308,58,?
1,0,2,1,8,?,3861,0,0,35,?
2,0,4,0,9,3557,1.173693,2,0,44,?
4,0,2,0,13,8000,0.697163,0,0.393783,33,?
0,0,2,0,31,4000,0.890527,0,0.014284,58,?
0,0,0,0,5,?,217,0,0.194898,73,?
1,0,0,0,13,6135,0.099576,0,0.023219,82,?
2,1,0,2,4,5628,0.307515,0,1,55,?
0,3,0,0,5,4000,0.106723,0,1,31,?
0,0,2,0,5,12500,0.399248,0,0.353812,51,?
1,0,2,0,9,9000,0.361293,2,0.660821,47,?
?,0,0,0,5,?,2,0,0.00122,72,?
1,0,2,0,12,5350,0.566249,2,0.981851,47,?
1,0,2,0,12,5333,0.71991,0,0.292317,53,?
0,0,1,0,2,3001,0.269487,1,0,46,?
2,0,1,1,3,5200,0.251106,0,1,39,?
0,0,0,2,10,3000,0.221926,2,1.01068,85,?
1,0,2,0,10,9700,0.278322,0,0.164427,46,?
2,0,1,0,17,4703,0.261054,0,0.003555,51,?
0,0,0,0,6,2000,0.163418,0,0.131935,30,?
0,0,2,0,7,?,2267,0,0.065629,64,?
0,0,1,0,12,8000,0.152981,0,0.018788,62,?
0,0,2,0,11,10500,0.186744,0,0.051898,73,?
0,0,1,0,10,?,1788,0,0,71,?
?,0,0,0,2,?,5,0,0.036193,26,?
0,0,0,0,1,?,15,0,0.026149,74,?
0,0,1,0,7,12600,0.301881,0,0.047538,49,?
3,0,3,0,8,10350,0.475316,0,0.201823,43,?
0,0,0,0,5,5343,0.146707,0,0.334592,40,?
2,1,2,0,5,5900,0.426368,0,0.072066,48,?
2,0,1,0,11,9000,0.247084,1,0.117889,53,?
0,0,2,0,9,?,1700,0,0.122858,65,?
?,0,0,0,3,?,13,0,0.003695,59,?
0,0,1,0,6,?,911,0,0.048815,69,?
2,0,1,0,15,4410,0.685105,0,0.501452,49,?
0,0,1,0,10,3658,0.455862,0,0.376137,49,?
1,0,0,0,4,2394,0.382463,0,0.453716,47,?
0,0,2,0,8,6262,0.26904,0,0.074636,37,?
1,0,1,0,14,5466,0.342601,0,0.282952,53,?
1,0,3,0,10,4500,0.467452,0,0.053783,67,?
2,0,1,0,7,10374,0.224,0,0.105232,54,?
