@relation 'credit-Kaggle-weka.filters.unsupervised.attribute.Reorder-R10,9,8,7,6,5,4,3,1,2,11'

@attribute NumberOfDependents numeric
@attribute NumberOfTime60-89DaysPastDueNotWorse numeric
@attribute NumberRealEstateLoansOrLines numeric
@attribute NumberOfTimes90DaysLate numeric
@attribute NumberOfOpenCreditLinesAndLoans numeric
@attribute MonthlyIncome numeric
@attribute DebtRatio numeric
@attribute NumberOfTime30-59DaysPastDueNotWorse numeric
@attribute RevolvingUtilizationOfUnsecuredLines numeric
@attribute age numeric
@attribute SeriousDlqin2yrs {0,1}

@data
2,0,2,0,7,15500,0.253855,0,0.025449,58,?
0,0,2,0,15,16000,0.337166,0,0.08193,57,?
0,0,4,0,18,13885,0.400547,0,0.699618,40,?
1,0,2,0,9,9106,0.386186,0,0.208187,60,?
0,0,0,0,2,?,9,0,0.015699,77,?
5,0,2,0,8,12000,0.208149,0,0.235331,46,?
0,0,0,0,2,2500,0.082367,0,0.057492,32,?
1,0,0,0,4,6400,0,0,0,63,?
4,1,0,0,4,2500,0.32467,0,0.685563,50,?
2,0,2,0,11,6666,1.113394,0,0.405644,50,?
0,0,0,0,3,1500,0.216522,0,0.918164,34,?
2,0,0,0,4,6500,0.067374,0,0.964454,33,?
2,0,0,0,3,3032,0.005935,0,1,44,?
0,0,0,0,5,4889,0.014928,0,0.03308,58,?
1,0,0,0,8,9200,0.194761,0,1,53,?
4,0,2,0,13,8000,0.697163,0,0.393783,33,?
1,0,0,0,13,6135,0.099576,0,0.023219,82,?
0,0,1,0,10,6000,0.224463,0,0.016608,84,?
0,0,2,0,5,12500,0.399248,0,0.353812,51,?
2,0,0,1,4,10600,0.131403,0,0.999926,39,?
2,0,1,0,8,2957,0.430696,0,0.049326,30,?
1,0,1,0,10,2330,0.680395,0,0.025686,46,?
0,0,1,0,2,3001,0.269487,1,0,46,?
2,0,1,1,3,5200,0.251106,0,1,39,?
0,0,0,2,10,3000,0.221926,2,1.01068,85,?
0,0,1,0,7,3671,1.083333,0,0.666587,29,?
0,0,0,0,9,5000,0.095381,0,0.001144,57,?
0,0,1,0,6,3000,0.607131,0,0.03077,40,?
0,0,1,0,12,8000,0.152981,0,0.018788,62,?
0,0,1,0,10,?,1788,0,0,71,?
?,0,0,0,2,?,5,0,0.036193,26,?
0,0,0,0,1,?,15,0,0.026149,74,?
0,0,1,0,9,7180,0.2884,0,0.01282,54,?
0,0,1,0,8,4840,0.47139,0,0.006359,74,?
3,0,3,0,8,10350,0.475316,0,0.201823,43,?
2,1,2,0,5,5900,0.426368,0,0.072066,48,?
0,0,1,0,7,?,3803,0,0,43,?
2,0,5,0,15,3750,2.153559,0,0.016134,43,?
0,0,2,0,9,?,1700,0,0.122858,65,?
2,0,1,0,8,18001,0.263971,0,0.8011,41,?
3,0,1,0,11,2200,0.63244,0,0.038778,53,?
1,0,3,0,10,4500,0.467452,0,0.053783,67,?
2,0,1,0,6,4200,0.627946,3,0.499873,38,?
0,0,1,0,5,3900,0.22789,0,0.043067,69,?
0,0,1,0,5,?,5110,0,0,73,?
0,0,0,0,2,2550,0.109761,1,1.003992,28,?
3,0,4,0,17,4741,1.01202,0,0.176117,40,?
0,0,1,0,9,7000,0.51864,1,0.187334,43,?
0,0,2,0,9,?,2591,0,1,75,?
0,0,0,0,5,1500,0.498334,0,0.359245,29,?
3,0,2,0,24,9820,0.526423,0,0.173079,39,?
0,0,2,0,9,4583,0.747164,0,0.616946,63,?
0,2,0,0,7,?,409,2,0.460285,58,?
0,1,0,0,1,2000,0,0,1,54,?
1,0,0,0,6,7844,0.001275,0,0.005188,64,?
3,0,1,0,7,9800,0.566371,0,0.166468,52,?
