@relation 'credit-Kaggle-weka.filters.unsupervised.attribute.Reorder-R10,9,8,7,6,5,4,3,1,2,11'

@attribute NumberOfDependents numeric
@attribute NumberOfTime60-89DaysPastDueNotWorse numeric
@attribute NumberRealEstateLoansOrLines numeric
@attribute NumberOfTimes90DaysLate numeric
@attribute NumberOfOpenCreditLinesAndLoans numeric
@attribute MonthlyIncome numeric
@attribute DebtRatio numeric
@attribute NumberOfTime30-59DaysPastDueNotWorse numeric
@attribute RevolvingUtilizationOfUnsecuredLines numeric
@attribute age numeric
@attribute SeriousDlqin2yrs {0,1}

@data
2,0,1,0,4,5584,0.716562,0,0.299745,44,?
4,0,0,0,4,6849,0.121752,0,0.810012,43,?
2,0,2,0,7,15500,0.253855,0,0.025449,58,?
0,1,0,0,5,?,517,0,0.977899,63,?
0,0,2,0,15,16000,0.337166,0,0.08193,57,?
0,0,4,0,18,13885,0.400547,0,0.699618,40,?
1,0,2,0,9,9106,0.386186,0,0.208187,60,?
0,0,1,0,12,3633,0.25399,0,0,70,?
0,0,0,0,2,?,9,0,0.015699,77,?
5,0,2,0,8,12000,0.208149,0,0.235331,46,?
0,0,0,0,2,2500,0.082367,0,0.057492,32,?
1,0,0,0,4,6400,0,0,0,63,?
0,0,1,0,4,2600,0.175702,0,0,73,?
1,1,2,0,12,4800,0.471152,1,0.30269,43,?
4,1,0,0,4,2500,0.32467,0,0.685563,50,?
?,1,0,1,2,?,577,0,1,26,?
2,0,2,0,11,6666,1.113394,0,0.405644,50,?
0,0,3,0,11,6800,0.674607,0,0.018982,60,?
0,0,0,0,3,1500,0.216522,0,0.918164,34,?
0,0,1,0,9,10583,0.78921,2,0.132242,62,?
2,0,0,0,4,6500,0.067374,0,0.964454,33,?
0,0,1,0,12,5173,0.366061,0,0.618697,56,?
0,1,0,1,17,3685,0.534183,11,0.99347,51,?
2,0,0,0,3,3032,0.005935,0,1,44,?
0,0,1,0,8,2557,0.463643,1,0.534872,35,?
0,0,0,0,5,4889,0.014928,0,0.03308,58,?
0,0,2,0,4,?,1464,0,0.137393,56,?
3,0,1,0,5,8544,0.2488,0,0.174855,53,?
1,0,2,1,8,?,3861,0,0,35,?
0,0,1,0,8,?,742,0,0.014104,63,?
2,0,4,0,9,3557,1.173693,2,0,44,?
1,0,0,0,8,9200,0.194761,0,1,53,?
0,0,1,0,4,3482,0.215619,0,0.309933,52,?
1,0,0,0,6,3100,0.106095,0,0.019856,31,?
4,0,2,0,13,8000,0.697163,0,0.393783,33,?
2,1,0,0,11,6419,0.206075,1,0.515619,38,?
2,0,2,0,7,8200,0.360566,0,0.032139,50,?
0,0,2,0,31,4000,0.890527,0,0.014284,58,?
0,0,2,0,5,4583,0.266361,0,0.011414,84,?
0,0,0,0,1,6000,0.001166,0,0.017628,59,?
0,0,0,0,5,?,217,0,0.194898,73,?
1,0,0,0,13,6135,0.099576,0,0.023219,82,?
2,1,0,2,4,5628,0.307515,0,1,55,?
1,0,0,0,12,7250,0.182733,0,0.149382,54,?
0,0,1,0,10,6000,0.224463,0,0.016608,84,?
0,3,0,0,5,4000,0.106723,0,1,31,?
0,0,2,0,5,12500,0.399248,0,0.353812,51,?
1,0,2,0,9,9000,0.361293,2,0.660821,47,?
2,0,0,1,4,10600,0.131403,0,0.999926,39,?
?,0,0,0,5,?,2,0,0.00122,72,?
2,0,1,0,8,2957,0.430696,0,0.049326,30,?
1,0,2,0,12,5350,0.566249,2,0.981851,47,?
1,0,1,0,10,2330,0.680395,0,0.025686,46,?
1,0,1,0,5,6000,0.246959,0,2.068589,47,?
0,0,0,0,8,?,1586,0,0.458599,39,?
0,0,0,0,3,500,0.439122,0,0.07298,76,?
0,0,0,0,0,2400,0,0,1,42,?
1,0,2,0,12,5333,0.71991,0,0.292317,53,?
1,0,2,0,10,?,2410,0,0.150192,60,?
